iter	Passed	Remaining
0	0	981
1	1	819
2	2	749
3	2	707
4	3	675
5	3	661
6	4	643
7	5	633
8	6	664
9	6	670
10	7	663
11	7	656
12	8	650
13	9	651
14	9	654
15	10	651
16	11	671
17	12	673
18	12	669
19	13	664
20	14	658
21	14	653
22	15	650
23	15	645
24	16	643
25	17	640
26	17	639
27	18	635
28	18	632
29	19	630
30	20	631
31	20	632
32	21	633
33	22	631
34	22	629
35	23	629
36	24	628
37	24	629
38	25	628
39	26	634
40	27	639
41	27	638
42	28	635
43	29	635
44	29	634
45	30	633
46	31	631
47	31	628
48	32	626
49	32	624
50	33	623
51	34	621
52	34	619
53	35	618
54	35	616
55	36	615
56	37	614
57	37	613
58	38	613
59	39	612
60	39	610
61	40	617
62	41	617
63	42	617
64	43	619
65	43	622
66	44	621
67	45	622
68	46	621
69	46	619
70	47	618
71	47	616
72	48	614
73	48	612
74	49	610
75	50	609
76	50	608
77	51	608
78	52	608
79	52	607
80	53	605
81	54	605
82	54	600
83	55	603
84	56	606
85	57	606
86	57	606
87	58	605
88	58	603
89	59	601
90	60	600
91	60	599
92	61	597
93	61	595
94	62	594
95	62	592
96	63	590
97	64	589
98	64	589
99	65	590
100	66	590
101	66	589
102	67	588
103	68	587
104	68	586
105	69	590
106	70	589
107	71	588
108	71	587
109	72	586
110	73	584
111	73	583
112	74	581
113	74	580
114	75	579
115	75	577
116	76	575
117	76	573
118	77	572
119	77	570
120	78	570
121	79	569
122	79	568
123	80	567
124	80	566
125	81	565
126	82	563
127	82	563
128	83	561
129	83	560
130	84	559
131	85	559
132	85	559
133	86	558
134	87	557
135	87	556
136	88	555
137	88	554
138	89	552
139	89	551
140	90	550
141	90	547
142	91	546
143	91	545
144	92	544
145	92	543
146	93	542
147	93	541
148	94	539
149	95	538
150	95	537
151	96	537
152	96	536
153	97	536
154	98	535
155	98	535
156	99	535
157	100	534
158	101	534
159	101	533
160	102	531
161	102	530
162	103	530
163	103	529
164	104	528
165	104	527
166	105	526
167	106	525
168	106	524
169	107	523
170	107	522
171	108	521
172	108	520
173	109	519
174	110	519
175	110	517
176	111	516
177	111	515
178	112	514
179	112	513
180	113	512
181	113	511
182	114	510
183	115	510
184	115	509
185	116	509
186	117	508
187	117	508
188	118	507
189	118	507
190	119	506
191	120	505
192	120	504
193	121	503
194	121	502
195	122	501
196	122	500
197	123	499
198	124	500
199	125	500
200	125	500
201	126	499
202	126	498
203	127	497
204	128	496
205	128	495
206	129	495
207	130	495
208	130	495
209	131	494
210	132	495
211	133	494
212	133	493
213	134	492
214	134	491
215	135	491
216	135	490
217	136	489
218	136	488
219	137	487
220	138	487
221	139	487
222	139	486
223	140	485
224	140	484
225	141	484
226	141	483
227	142	482
228	143	481
229	143	481
230	144	480
231	145	480
232	145	479
233	146	479
234	147	478
235	147	478
236	148	477
237	148	476
238	149	475
239	149	474
240	150	473
241	150	472
242	151	472
243	152	471
244	152	470
245	153	469
246	153	468
247	154	467
248	154	466
249	155	465
250	155	464
251	156	463
252	156	462
253	157	462
254	158	461
255	158	461
256	159	460
257	160	460
258	161	460
259	161	460
260	162	459
261	162	458
262	163	457
263	163	456
264	164	455
265	164	455
266	165	454
267	166	453
268	166	452
269	167	451
270	167	451
271	168	450
272	168	449
273	169	448
274	169	447
275	170	446
276	170	445
277	171	444
278	171	443
279	172	443
280	173	443
281	174	443
282	174	442
283	175	442
284	176	442
285	176	441
286	177	441
287	178	440
288	178	439
289	179	438
290	179	438
291	180	437
292	180	436
293	181	435
294	182	435
295	182	434
296	183	433
297	183	432
298	184	431
299	184	430
300	185	429
301	185	429
302	186	428
303	186	427
304	187	427
305	188	426
306	188	426
307	189	425
308	190	425
309	191	425
310	191	424
311	192	423
312	192	422
313	193	421
314	193	421
315	194	420
316	194	419
317	195	418
318	195	418
319	196	417
320	196	416
321	197	415
322	197	414
323	198	414
324	198	413
325	199	412
326	200	411
327	200	410
328	201	410
329	201	409
330	202	408
331	203	408
332	203	407
333	204	407
334	205	407
335	205	406
336	206	405
337	206	404
338	207	404
339	207	403
340	208	403
341	209	402
342	209	401
343	210	400
344	210	400
345	211	399
346	212	399
347	212	398
348	213	397
349	213	396
350	214	395
351	214	395
352	215	394
353	215	393
354	216	392
355	216	392
356	217	391
357	218	391
358	218	390
359	219	390
360	220	389
361	220	389
362	221	388
363	222	388
364	222	387
365	223	386
366	223	385
367	224	385
368	224	384
369	225	383
370	225	382
371	226	382
372	227	381
373	227	380
374	228	380
375	228	379
376	229	378
377	229	377
378	230	377
379	230	376
380	231	376
381	232	375
382	232	375
383	233	375
384	234	375
385	235	374
386	236	373
387	236	373
388	237	372
389	237	371
390	238	370
391	238	370
392	239	369
393	239	368
394	240	368
395	240	367
396	241	366
397	242	366
398	242	365
399	243	364
400	243	363
401	244	363
402	244	362
403	245	361
404	246	361
405	246	361
406	247	360
407	248	360
408	248	359
409	249	359
410	250	358
411	250	357
412	251	357
413	251	356
414	252	355
415	252	355
416	253	354
417	254	353
418	254	352
419	255	352
420	255	351
421	256	350
422	256	350
423	257	349
424	257	348
425	258	348
426	258	347
427	259	346
428	259	345
429	260	345
430	261	344
431	261	344
432	262	343
433	263	343
434	263	342
435	264	342
436	265	341
437	265	341
438	266	340
439	267	339
440	267	339
441	268	338
442	268	337
443	269	337
444	269	336
445	270	335
446	270	335
447	271	334
448	271	333
449	272	332
450	272	332
451	273	331
452	273	330
453	274	330
454	275	329
455	275	329
456	276	328
457	277	328
458	278	327
459	278	327
460	279	326
461	280	326
462	280	325
463	281	324
464	281	324
465	282	323
466	282	322
467	283	322
468	283	321
469	284	320
470	285	320
471	285	319
472	286	318
473	286	317
474	287	317
475	287	316
476	288	315
477	288	315
478	289	314
479	290	314
480	291	314
481	292	314
482	293	314
483	294	314
484	295	313
485	295	312
486	296	312
487	297	311
488	297	311
489	298	310
490	298	309
491	299	309
492	299	308
493	300	307
494	300	306
495	301	306
496	301	305
497	302	304
498	302	304
499	303	303
500	304	303
501	305	302
502	305	302
503	306	301
504	307	301
505	307	300
506	308	300
507	309	299
508	309	298
509	310	297
510	310	297
511	311	296
512	311	295
513	312	295
514	312	294
515	313	294
516	314	293
517	314	292
518	315	292
519	315	291
520	316	290
521	316	289
522	317	289
523	317	288
524	318	287
525	318	287
526	319	286
527	320	286
528	321	285
529	321	285
530	322	285
531	323	284
532	324	283
533	324	283
534	325	282
535	325	282
536	326	281
537	326	280
538	327	280
539	327	279
540	328	278
541	329	278
542	329	277
543	330	276
544	330	276
545	331	275
546	331	274
547	332	274
548	333	273
549	333	273
550	334	272
551	335	272
552	336	271
553	336	271
554	337	270
555	337	269
556	338	269
557	338	268
558	339	267
559	339	267
560	340	266
561	341	265
562	341	265
563	342	264
564	342	263
565	343	263
566	343	262
567	344	261
568	344	261
569	345	260
570	346	260
571	346	259
572	347	258
573	348	258
574	349	258
575	350	257
576	350	257
577	351	256
578	352	256
579	352	255
580	353	255
581	355	255
582	356	254
583	358	255
584	359	254
585	360	254
586	360	253
587	361	253
588	361	252
589	362	252
590	363	251
591	364	251
592	365	250
593	365	250
594	366	249
595	367	248
596	367	248
597	368	247
598	368	246
599	369	246
600	370	245
601	370	245
602	371	244
603	371	243
604	372	243
605	372	242
606	373	241
607	374	241
608	374	240
609	375	239
610	375	239
611	376	238
612	376	237
613	387	243
614	388	243
615	388	242
616	389	241
617	389	241
618	390	240
619	390	239
620	391	238
621	391	238
622	392	237
623	393	236
624	394	236
625	394	235
626	396	235
627	396	235
628	397	234
629	398	233
630	398	233
631	399	232
632	399	231
633	400	231
634	401	230
635	401	229
636	402	229
637	403	228
638	403	227
639	404	227
640	404	226
641	405	225
642	405	225
643	406	224
644	406	223
645	407	223
646	407	222
647	408	221
648	409	221
649	410	220
650	410	220
651	411	219
652	412	218
653	412	218
654	413	217
655	413	216
656	414	216
657	414	215
658	415	214
659	415	214
660	416	213
661	416	212
662	417	212
663	417	211
664	418	210
665	418	210
666	419	209
667	419	208
668	420	208
669	421	207
670	421	206
671	422	206
672	422	205
673	423	204
674	424	204
675	424	203
676	425	202
677	426	202
678	426	201
679	427	201
680	427	200
681	428	199
682	429	199
683	429	198
684	430	197
685	430	197
686	431	196
687	431	195
688	432	195
689	432	194
690	433	193
691	433	193
692	434	192
693	434	191
694	435	191
695	435	190
696	436	189
697	436	189
698	437	188
699	438	187
700	439	187
701	439	186
702	440	186
703	441	185
704	441	184
705	442	184
706	442	183
707	443	182
708	444	182
709	444	181
710	445	181
